"Index","Open","High","Low","Close","Volume"
2015-08-05 10:59:00,210.03,210.04,209.95,209.95,506
2015-08-05 11:00:00,209.94,209.94,209.9,209.93,758
2015-08-05 11:01:00,209.93,209.94,209.86,209.91,1517
2015-08-05 11:02:00,209.9,210,209.9,209.97,449
2015-08-05 11:03:00,209.97,210.03,209.97,210.01,860
2015-08-05 11:04:00,210.02,210.11,210.01,210.08,1640
2015-08-05 11:05:00,210.08,210.18,210.06,210.14,1249
2015-08-05 11:06:00,210.17,210.18,210.11,210.15,2676
2015-08-05 11:07:00,210.15,210.15,210.09,210.09,417
2015-08-05 11:08:00,210.09,210.1,210.05,210.1,325
2015-08-05 11:09:00,210.1,210.11,210.03,210.05,238
2015-08-05 11:10:00,210.05,210.06,210,210.01,502
2015-08-05 11:11:00,210,210.01,209.97,209.99,475
2015-08-05 11:12:00,210,210.06,209.99,210.01,341
2015-08-05 11:13:00,210.01,210.1,210,210.08,847
2015-08-05 11:14:00,210.09,210.12,210.08,210.12,549
2015-08-05 11:15:00,210.12,210.14,210.07,210.1,1061
2015-08-05 11:16:00,210.11,210.11,210.07,210.11,956
2015-08-05 11:17:00,210.11,210.12,210.06,210.08,805
2015-08-05 11:18:00,210.08,210.1,210.06,210.1,451
2015-08-05 11:19:00,210.11,210.18,210.1,210.16,2287
2015-08-05 11:20:00,210.17,210.23,210.16,210.21,2225
2015-08-05 11:21:00,210.2,210.22,210.19,210.19,390
2015-08-05 11:22:00,210.2,210.23,210.19,210.21,870
2015-08-05 11:23:00,210.2,210.22,210.18,210.21,475
2015-08-05 11:24:00,210.21,210.23,210.18,210.23,1402
2015-08-05 11:25:00,210.22,210.23,210.18,210.2,428
2015-08-05 11:26:00,210.2,210.21,210.17,210.2,499
2015-08-05 11:27:00,210.21,210.27,210.2,210.25,1379
2015-08-05 11:28:00,210.25,210.33,210.24,210.31,2447
2015-08-05 11:29:00,210.3,210.33,210.28,210.29,1384
2015-08-05 11:30:00,210.29,210.35,210.28,210.32,1999
2015-08-05 11:31:00,210.32,210.33,210.27,210.31,2136
2015-08-05 11:32:00,210.32,210.33,210.3,210.3,528
2015-08-05 11:33:00,210.31,210.35,210.31,210.34,438
2015-08-05 11:34:00,210.33,210.38,210.33,210.35,891
2015-08-05 11:35:00,210.34,210.37,210.33,210.37,530
2015-08-05 11:36:00,210.36,210.37,210.31,210.35,1355
2015-08-05 11:37:00,210.35,210.38,210.33,210.37,1796
2015-08-05 11:38:00,210.37,210.4,210.36,210.38,565
2015-08-05 11:39:00,210.37,210.38,210.34,210.35,908
2015-08-05 11:40:00,210.35,210.37,210.3,210.31,754
2015-08-05 11:41:00,210.32,210.33,210.23,210.25,1399
2015-08-05 11:42:00,210.26,210.28,210.15,210.17,2468
2015-08-05 11:43:00,210.17,210.23,210.14,210.21,827
2015-08-05 11:44:00,210.21,210.33,210.21,210.32,988
2015-08-05 11:45:00,210.32,210.33,210.28,210.31,807
2015-08-05 11:46:00,210.3,210.31,210.29,210.3,373
2015-08-05 11:47:00,210.31,210.34,210.3,210.32,591
2015-08-05 11:48:00,210.32,210.38,210.31,210.37,936
2015-08-05 11:49:00,210.36,210.4,210.34,210.4,4300
2015-08-05 11:50:00,210.4,210.4,210.35,210.36,1086
2015-08-05 11:51:00,210.37,210.37,210.27,210.3,853
2015-08-05 11:52:00,210.3,210.3,210.23,210.27,539
2015-08-05 11:53:00,210.27,210.31,210.25,210.3,639
2015-08-05 11:54:00,210.31,210.33,210.29,210.3,1014
2015-08-05 11:55:00,210.3,210.31,210.23,210.26,593
2015-08-05 11:56:00,210.26,210.27,210.2,210.21,1375
2015-08-05 11:57:00,210.2,210.22,210.17,210.18,911
2015-08-05 11:58:00,210.19,210.23,210.17,210.23,977
2015-08-05 11:59:00,210.23,210.24,210.19,210.24,1123
2015-08-05 12:00:00,210.24,210.28,210.24,210.27,1352
2015-08-05 12:01:00,210.28,210.29,210.25,210.28,846
2015-08-05 12:02:00,210.28,210.31,210.26,210.31,943
2015-08-05 12:03:00,210.31,210.31,210.23,210.26,586
2015-08-05 12:04:00,210.25,210.3,210.22,210.29,1366
2015-08-05 12:05:00,210.3,210.32,210.28,210.31,750
2015-08-05 12:06:00,210.32,210.37,210.31,210.37,1055
2015-08-05 12:07:00,210.38,210.4,210.33,210.34,1414
2015-08-05 12:08:00,210.35,210.4,210.35,210.39,1921
2015-08-05 12:09:00,210.39,210.39,210.36,210.38,882
2015-08-05 12:10:00,210.37,210.5,210.37,210.47,6448
2015-08-05 12:11:00,210.49,210.49,210.46,210.46,1249
2015-08-05 12:12:00,210.46,210.51,210.45,210.45,2900
2015-08-05 12:13:00,210.45,210.48,210.42,210.45,1168
2015-08-05 12:14:00,210.45,210.46,210.4,210.41,1023
2015-08-05 12:15:00,210.41,210.43,210.32,210.32,3529
2015-08-05 12:16:00,210.31,210.32,210.27,210.31,1188
2015-08-05 12:17:00,210.3,210.34,210.29,210.3,752
2015-08-05 12:18:00,210.3,210.33,210.29,210.33,469
2015-08-05 12:19:00,210.32,210.33,210.22,210.23,2677
2015-08-05 12:20:00,210.23,210.27,210.18,210.27,1444
2015-08-05 12:21:00,210.28,210.28,210.24,210.27,687
2015-08-05 12:22:00,210.28,210.28,210.25,210.26,405
2015-08-05 12:23:00,210.26,210.36,210.26,210.35,924
2015-08-05 12:24:00,210.35,210.35,210.32,210.34,1004
2015-08-05 12:25:00,210.34,210.4,210.33,210.34,1101
2015-08-05 12:26:00,210.34,210.35,210.29,210.31,565
2015-08-05 12:27:00,210.3,210.35,210.24,210.27,1467
2015-08-05 12:28:00,210.27,210.3,210.24,210.29,1004
2015-08-05 12:29:00,210.29,210.3,210.23,210.25,2109
2015-08-05 12:30:00,210.24,210.25,210.15,210.16,2231
2015-08-05 12:31:00,210.15,210.16,210.1,210.12,1278
